pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0551,46.11.01,Attività di intermediari del commercio all'ingrosso di materie prime agricole,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0551_461101_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0552,46.11.02,Attività di intermediari del commercio all'ingrosso di fiori e piante,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0552_461102_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0553,46.11.03,Attività di intermediari del commercio all'ingrosso di animali vivi,Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0553_461103_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0554,46.11.04,Attività di intermediari del commercio all'ingrosso di materie prime tessili e semilavorati,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0554_461104_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0555,46.12.01,Attività di intermediari del commercio all'ingrosso di combustibili liquidi e gassosi,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0555_461201_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0556,46.12.02,Attività di intermediari del commercio all'ingrosso di combustibili solidi,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0556_461202_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0557,46.12.03,Attività di intermediari del commercio all'ingrosso di minerali e metalli,Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0557_461203_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0558,46.12.04,Attività di intermediari del commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura,Sicurezza,Segnalex|Riskix,Formix|Scudix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0558_461204_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0559,46.12.05,Attività di intermediari del commercio all'ingrosso di prodotti chimici per l'industria,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0559_461205_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0560,46.13.01,Attività di intermediari del commercio all'ingrosso di legname,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0560_461301_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0561,46.13.02,"Attività di intermediari del commercio all'ingrosso di pitture, vernici e lacche",Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0561_461302_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0562,46.13.03,Attività di intermediari del commercio all'ingrosso di altri materiali da costruzione,Sicurezza,Voltix|Fumix,Formix|Scudix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0562_461303_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0563,46.14.01,Attività di intermediari del commercio all'ingrosso di macchine e attrezzature per l'industria e il commercio,Sicurezza,Fumix|Polverix,Checkix|Prepostix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0563_461401_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0564,46.14.02,Attività di intermediari del commercio all'ingrosso di macchine e attrezzature per l'edilizia,Sicurezza,Polverix|Nondpix,Scudix|Formix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0564_461402_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0565,46.14.03,"Attività di intermediari del commercio all'ingrosso di macchine per ufficio, computer e apparecchiature per le comunicazioni",Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0565_461403_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0566,46.14.04,Attività di intermediari del commercio all'ingrosso di attrezzature agricole,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0566_461404_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
0567,46.14.05,Attività di intermediari del commercio all'ingrosso di navi e aeromobili,Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,Attività di intermediari del commercio all'i — Pericolo vs Metodo81+,SICURIX_TALES_0567_461405_attivit_di_intermediari_del_commercio_al_SICUREZZA_v1.png
