pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0851,52.21.60,Attività di traino e soccorso stradale,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Attività di traino e soccorso stradale — Pericolo vs Metodo81+,SICURIX_TALES_0851_522160_attivit_di_traino_e_soccorso_stradale_SICUREZZA_v1.png
0852,52.21.90,Altri servizi di supporto al trasporto terrestre,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Altri servizi di supporto al trasporto terre — Pericolo vs Metodo81+,SICURIX_TALES_0852_522190_altri_servizi_di_supporto_al_trasporto_t_SICUREZZA_v1.png
0853,52.22.01,Liquefazione e rigassificazione di gas a scopo di trasporto marittimo e per vie d'acqua interne,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Liquefazione e rigassificazione di gas a sco — Pericolo vs Metodo81+,SICURIX_TALES_0853_522201_liquefazione_e_rigassificazione_di_gas_a_SICUREZZA_v1.png
0854,52.22.09,Altri servizi di supporto al trasporto marittimo e per vie d'acqua interne,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Altri servizi di supporto al trasporto marit — Pericolo vs Metodo81+,SICURIX_TALES_0854_522209_altri_servizi_di_supporto_al_trasporto_m_SICUREZZA_v1.png
0855,52.23.00,Servizi di supporto al trasporto aereo,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Servizi di supporto al trasporto aereo — Pericolo vs Metodo81+,SICURIX_TALES_0855_522300_servizi_di_supporto_al_trasporto_aereo_SICUREZZA_v1.png
0856,52.24.10,Movimentazione merci relativa a trasporti aerei,Sicurezza,Caosix|Segnalex,Scudix|Formix,Movimentazione merci relativa a trasporti ae — Pericolo vs Metodo81+,SICURIX_TALES_0856_522410_movimentazione_merci_relativa_a_trasport_SICUREZZA_v1.png
0857,52.24.20,Movimentazione merci relativa a trasporti marittimi e per vie d'acqua interne,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Movimentazione merci relativa a trasporti ma — Pericolo vs Metodo81+,SICURIX_TALES_0857_522420_movimentazione_merci_relativa_a_trasport_SICUREZZA_v1.png
0858,52.24.30,Movimentazione merci relativa a trasporti ferroviari,Sicurezza,Riskix|Cadutix,Formix|Scudix,Movimentazione merci relativa a trasporti fe — Pericolo vs Metodo81+,SICURIX_TALES_0858_522430_movimentazione_merci_relativa_a_trasport_SICUREZZA_v1.png
0859,52.24.40,Movimentazione merci relativa ad altri trasporti terrestri,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Movimentazione merci relativa ad altri trasp — Pericolo vs Metodo81+,SICURIX_TALES_0859_522440_movimentazione_merci_relativa_ad_altri_t_SICUREZZA_v1.png
0860,52.25.01,Servizi di logistica per opere d'arte,Sicurezza,Schiaccix|Voltix,Scudix|Formix,Servizi di logistica per opere d'arte — Pericolo vs Metodo81+,SICURIX_TALES_0860_522501_servizi_di_logistica_per_opere_d_arte_SICUREZZA_v1.png
0861,52.25.09,Altri servizi di logistica,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Altri servizi di logistica — Pericolo vs Metodo81+,SICURIX_TALES_0861_522509_altri_servizi_di_logistica_SICUREZZA_v1.png
0862,52.26.01,Attività di agenti e agenzie di dogana,Sicurezza,Fumix|Polverix,Formix|Scudix,Attività di agenti e agenzie di dogana — Pericolo vs Metodo81+,SICURIX_TALES_0862_522601_attivit_di_agenti_e_agenzie_di_dogana_SICUREZZA_v1.png
0863,52.26.02,Attività di spedizione merci,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Attività di spedizione merci — Pericolo vs Metodo81+,SICURIX_TALES_0863_522602_attivit_di_spedizione_merci_SICUREZZA_v1.png
0864,52.31.00,Attività di servizi di intermediazione per il trasporto di merci,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Attività di servizi di intermediazione per i — Pericolo vs Metodo81+,SICURIX_TALES_0864_523100_attivit_di_servizi_di_intermediazione_pe_SICUREZZA_v1.png
0865,52.32.00,Attività di servizi di intermediazione per il trasporto di passeggeri,Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,Attività di servizi di intermediazione per i — Pericolo vs Metodo81+,SICURIX_TALES_0865_523200_attivit_di_servizi_di_intermediazione_pe_SICUREZZA_v1.png
0866,53.10.00,Attività postali con obbligo di servizio universale,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Attività postali con obbligo di servizio uni — Pericolo vs Metodo81+,SICURIX_TALES_0866_531000_attivit_postali_con_obbligo_di_servizio__SICUREZZA_v1.png
0867,53.20.00,Altre attività postali e di corriere,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Altre attività postali e di corriere — Pericolo vs Metodo81+,SICURIX_TALES_0867_532000_altre_attivit_postali_e_di_corriere_SICUREZZA_v1.png
0868,53.30.00,Attività di servizi di intermediazione per attività postali e di corriere,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Attività di servizi di intermediazione per a — Pericolo vs Metodo81+,SICURIX_TALES_0868_533000_attivit_di_servizi_di_intermediazione_pe_SICUREZZA_v1.png
0869,55.10.00,Servizi di alloggio di alberghi e simili,HACCP,Crossix|Temporix,Checkix|Hygienix,Servizi di alloggio di alberghi e simili — Pericolo vs Metodo81+,SICURIX_TALES_0869_551000_servizi_di_alloggio_di_alberghi_e_simili_HACCP_v1.png
0870,55.20.10,Ostelli,HACCP,Temporix|Scadutix,Chefix|Traccix,Ostelli — Pericolo vs Metodo81+,SICURIX_TALES_0870_552010_ostelli_HACCP_v1.png
0871,55.20.20,Rifugi e baite di montagna,HACCP,Scadutix|Mescolix,Hygienix|Blinkix,Rifugi e baite di montagna — Pericolo vs Metodo81+,SICURIX_TALES_0871_552020_rifugi_e_baite_di_montagna_HACCP_v1.png
0872,55.20.31,Case religiose di ospitalità,HACCP,Mescolix|Dosagix,Traccix|Checkix,Case religiose di ospitalità — Pericolo vs Metodo81+,SICURIX_TALES_0872_552031_case_religiose_di_ospitalit_HACCP_v1.png
0873,55.20.32,Altre case sociali di ospitalità,HACCP,Dosagix|Acquaix,Blinkix|Chefix,Altre case sociali di ospitalità — Pericolo vs Metodo81+,SICURIX_TALES_0873_552032_altre_case_sociali_di_ospitalit_HACCP_v1.png
0874,55.20.41,Bed and breakfast,HACCP,Acquaix|Sporckix,Checkix|Hygienix,Bed and breakfast — Pericolo vs Metodo81+,SICURIX_TALES_0874_552041_bed_and_breakfast_HACCP_v1.png
0875,55.20.42,"Servizi di alloggio in camere, case e appartamenti per vacanze",HACCP,Sporckix|Crossix,Chefix|Traccix,"Servizi di alloggio in camere, case e appart — Pericolo vs Metodo81+",SICURIX_TALES_0875_552042_servizi_di_alloggio_in_camere_case_e_app_HACCP_v1.png
0876,55.20.51,Servizi di alloggio in aziende agricole,HACCP,Crossix|Temporix,Hygienix|Blinkix,Servizi di alloggio in aziende agricole — Pericolo vs Metodo81+,SICURIX_TALES_0876_552051_servizi_di_alloggio_in_aziende_agricole_HACCP_v1.png
0877,55.20.52,Servizi di alloggio in aziende ittiche,HACCP,Temporix|Scadutix,Traccix|Checkix,Servizi di alloggio in aziende ittiche — Pericolo vs Metodo81+,SICURIX_TALES_0877_552052_servizi_di_alloggio_in_aziende_ittiche_HACCP_v1.png
0878,55.30.01,Campeggi,HACCP,Scadutix|Mescolix,Blinkix|Chefix,Campeggi — Pericolo vs Metodo81+,SICURIX_TALES_0878_553001_campeggi_HACCP_v1.png
0879,55.30.02,Villaggi turistici e alloggi glamping,HACCP,Mescolix|Dosagix,Checkix|Hygienix,Villaggi turistici e alloggi glamping — Pericolo vs Metodo81+,SICURIX_TALES_0879_553002_villaggi_turistici_e_alloggi_glamping_HACCP_v1.png
0880,55.30.03,Aree attrezzate per veicoli ricreazionali,HACCP,Dosagix|Acquaix,Chefix|Traccix,Aree attrezzate per veicoli ricreazionali — Pericolo vs Metodo81+,SICURIX_TALES_0880_553003_aree_attrezzate_per_veicoli_ricreazional_HACCP_v1.png
0881,55.30.04,Marina resort,HACCP,Acquaix|Sporckix,Hygienix|Blinkix,Marina resort — Pericolo vs Metodo81+,SICURIX_TALES_0881_553004_marina_resort_HACCP_v1.png
0882,55.40.00,Attività di servizi di intermediazione per servizi di alloggio,HACCP,Sporckix|Crossix,Traccix|Checkix,Attività di servizi di intermediazione per s — Pericolo vs Metodo81+,SICURIX_TALES_0882_554000_attivit_di_servizi_di_intermediazione_pe_HACCP_v1.png
0883,55.90.00,Altri servizi di alloggio,HACCP,Crossix|Temporix,Blinkix|Chefix,Altri servizi di alloggio — Pericolo vs Metodo81+,SICURIX_TALES_0883_559000_altri_servizi_di_alloggio_HACCP_v1.png
0884,56.11.11,"Attività di ristoranti con servizio al tavolo, escluse gelaterie e pasticcerie",HACCP,Temporix|Scadutix,Checkix|Hygienix,Attività di ristoranti con servizio al tavol — Pericolo vs Metodo81+,SICURIX_TALES_0884_561111_attivit_di_ristoranti_con_servizio_al_ta_HACCP_v1.png
0885,56.11.12,"Attività di ristoranti senza servizio al tavolo o da asporto, escluse gelaterie e pasticcerie",HACCP,Scadutix|Mescolix,Chefix|Traccix,Attività di ristoranti senza servizio al tav — Pericolo vs Metodo81+,SICURIX_TALES_0885_561112_attivit_di_ristoranti_senza_servizio_al__HACCP_v1.png
0886,56.11.21,Attività di gelaterie con servizio al tavolo,HACCP,Mescolix|Dosagix,Hygienix|Blinkix,Attività di gelaterie con servizio al tavolo — Pericolo vs Metodo81+,SICURIX_TALES_0886_561121_attivit_di_gelaterie_con_servizio_al_tav_HACCP_v1.png
0887,56.11.22,Attività di gelaterie senza servizio al tavolo o da asporto,HACCP,Dosagix|Acquaix,Traccix|Checkix,Attività di gelaterie senza servizio al tavo — Pericolo vs Metodo81+,SICURIX_TALES_0887_561122_attivit_di_gelaterie_senza_servizio_al_t_HACCP_v1.png
0888,56.11.23,Attività di pasticcerie con servizio al tavolo,HACCP,Acquaix|Sporckix,Blinkix|Chefix,Attività di pasticcerie con servizio al tavo — Pericolo vs Metodo81+,SICURIX_TALES_0888_561123_attivit_di_pasticcerie_con_servizio_al_t_HACCP_v1.png
0889,56.11.24,Attività di pasticcerie senza servizio al tavolo o da asporto,HACCP,Sporckix|Crossix,Checkix|Hygienix,Attività di pasticcerie senza servizio al ta — Pericolo vs Metodo81+,SICURIX_TALES_0889_561124_attivit_di_pasticcerie_senza_servizio_al_HACCP_v1.png
