pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0901,56.30.02,Attività di somministrazione di bevande in lounge cocktail bar,HACCP,Dosagix|Acquaix,Hygienix|Blinkix,Attività di somministrazione di bevande in l — Pericolo vs Metodo81+,SICURIX_TALES_0901_563002_attivit_di_somministrazione_di_bevande_i_HACCP_v1.png
0902,56.30.03,Attività di somministrazione mobile di bevande,HACCP,Acquaix|Sporckix,Traccix|Checkix,Attività di somministrazione mobile di bevan — Pericolo vs Metodo81+,SICURIX_TALES_0902_563003_attivit_di_somministrazione_mobile_di_be_HACCP_v1.png
0903,56.30.04,Attività di somministrazione di bevande a bordo di mezzi di trasporto,HACCP,Sporckix|Crossix,Blinkix|Chefix,Attività di somministrazione di bevande a bo — Pericolo vs Metodo81+,SICURIX_TALES_0903_563004_attivit_di_somministrazione_di_bevande_a_HACCP_v1.png
0904,56.40.00,Attività di servizi di intermediazione per servizi di ristorazione,HACCP,Crossix|Temporix,Checkix|Hygienix,Attività di servizi di intermediazione per s — Pericolo vs Metodo81+,SICURIX_TALES_0904_564000_attivit_di_servizi_di_intermediazione_pe_HACCP_v1.png
0905,58.11.00,Edizione di libri,Privacy,Cancelix|Leakix,Privacix|Consensix,Edizione di libri — Pericolo vs Metodo81+,SICURIX_TALES_0905_581100_edizione_di_libri_PRIVACY_v1.png
0906,58.12.00,Edizione di quotidiani,Privacy,Leakix|Phishix,Cifrix|Documix,Edizione di quotidiani — Pericolo vs Metodo81+,SICURIX_TALES_0906_581200_edizione_di_quotidiani_PRIVACY_v1.png
0907,58.13.00,Edizione di riviste e periodici,Privacy,Phishix|Spyix,Consensix|Luxpectorix,Edizione di riviste e periodici — Pericolo vs Metodo81+,SICURIX_TALES_0907_581300_edizione_di_riviste_e_periodici_PRIVACY_v1.png
0908,58.19.00,"Altre attività editoriali, esclusa l'edizione di software",Privacy,Spyix|Hackix,Documix|Privacix,"Altre attività editoriali, esclusa l'edizion — Pericolo vs Metodo81+",SICURIX_TALES_0908_581900_altre_attivit_editoriali_esclusa_l_edizi_PRIVACY_v1.png
0909,58.21.00,Edizione di videogiochi,Privacy,Hackix|Permissionix,Luxpectorix|Cifrix,Edizione di videogiochi — Pericolo vs Metodo81+,SICURIX_TALES_0909_582100_edizione_di_videogiochi_PRIVACY_v1.png
0910,58.29.00,Edizione di altri software,Privacy,Permissionix|Cancelix,Privacix|Consensix,Edizione di altri software — Pericolo vs Metodo81+,SICURIX_TALES_0910_582900_edizione_di_altri_software_PRIVACY_v1.png
0911,59.11.00,"Attività di produzione cinematografica, di video e programmi televisivi",Privacy,Cancelix|Leakix,Cifrix|Documix,"Attività di produzione cinematografica, di v — Pericolo vs Metodo81+",SICURIX_TALES_0911_591100_attivit_di_produzione_cinematografica_di_PRIVACY_v1.png
0912,59.12.00,"Attività di post-produzione cinematografica, di video e programmi televisivi",Privacy,Leakix|Phishix,Consensix|Luxpectorix,"Attività di post-produzione cinematografica, — Pericolo vs Metodo81+",SICURIX_TALES_0912_591200_attivit_di_post_produzione_cinematografi_PRIVACY_v1.png
0913,59.13.00,"Attività di distribuzione cinematografica, di video e programmi televisivi",Privacy,Phishix|Spyix,Documix|Privacix,"Attività di distribuzione cinematografica, d — Pericolo vs Metodo81+",SICURIX_TALES_0913_591300_attivit_di_distribuzione_cinematografica_PRIVACY_v1.png
0914,59.14.00,Attività di proiezione cinematografica,Privacy,Spyix|Hackix,Luxpectorix|Cifrix,Attività di proiezione cinematografica — Pericolo vs Metodo81+,SICURIX_TALES_0914_591400_attivit_di_proiezione_cinematografica_PRIVACY_v1.png
0915,59.20.10,Attività di registrazione sonora,Privacy,Hackix|Permissionix,Privacix|Consensix,Attività di registrazione sonora — Pericolo vs Metodo81+,SICURIX_TALES_0915_592010_attivit_di_registrazione_sonora_PRIVACY_v1.png
0916,59.20.20,Editoria musicale,Privacy,Permissionix|Cancelix,Cifrix|Documix,Editoria musicale — Pericolo vs Metodo81+,SICURIX_TALES_0916_592020_editoria_musicale_PRIVACY_v1.png
0917,60.10.00,Attività di trasmissione radiofonica e distribuzione di audio,Privacy,Cancelix|Leakix,Consensix|Luxpectorix,Attività di trasmissione radiofonica e distr — Pericolo vs Metodo81+,SICURIX_TALES_0917_601000_attivit_di_trasmissione_radiofonica_e_di_PRIVACY_v1.png
