pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0951,65.11.00,Assicurazioni sulla vita,Privacy,Hackix|Permissionix,Cifrix|Documix,Assicurazioni sulla vita — Pericolo vs Metodo81+,SICURIX_TALES_0951_651100_assicurazioni_sulla_vita_PRIVACY_v1.png
0952,65.12.00,Assicurazioni diverse da quelle sulla vita,Privacy,Permissionix|Cancelix,Consensix|Luxpectorix,Assicurazioni diverse da quelle sulla vita — Pericolo vs Metodo81+,SICURIX_TALES_0952_651200_assicurazioni_diverse_da_quelle_sulla_vi_PRIVACY_v1.png
0953,65.20.00,Riassicurazioni,Privacy,Cancelix|Leakix,Documix|Privacix,Riassicurazioni — Pericolo vs Metodo81+,SICURIX_TALES_0953_652000_riassicurazioni_PRIVACY_v1.png
0954,65.30.00,Fondi pensione,Misto,Polverix|Nondpix|Leakix,Formix|Scudix,Fondi pensione — Pericolo vs Metodo81+,SICURIX_TALES_0954_653000_fondi_pensione_MISTO_v1.png
0955,66.11.00,Amministrazione di mercati finanziari,Misto,Nondpix|Segnalex|Phishix,Checkix|Prepostix,Amministrazione di mercati finanziari — Pericolo vs Metodo81+,SICURIX_TALES_0955_661100_amministrazione_di_mercati_finanziari_MISTO_v1.png
0956,66.12.00,Attività di negoziazione di contratti relativi a titoli e merci,Misto,Segnalex|Sottovalutix|Spyix,Scudix|Formix,Attività di negoziazione di contratti relati — Pericolo vs Metodo81+,SICURIX_TALES_0956_661200_attivit_di_negoziazione_di_contratti_rel_MISTO_v1.png
0957,66.19.10,Attività di elaborazione e liquidazione delle transazioni finanziarie tramite carta di credito,Privacy,Hackix|Permissionix,Consensix|Luxpectorix,Attività di elaborazione e liquidazione dell — Pericolo vs Metodo81+,SICURIX_TALES_0957_661910_attivit_di_elaborazione_e_liquidazione_d_PRIVACY_v1.png
0958,66.19.21,Attività di consulenza finanziaria fornite da consulenti finanziari abilitati all'offerta fuori sede,Privacy,Permissionix|Cancelix,Documix|Privacix,Attività di consulenza finanziaria fornite d — Pericolo vs Metodo81+,SICURIX_TALES_0958_661921_attivit_di_consulenza_finanziaria_fornit_PRIVACY_v1.png
0959,66.19.22,Altre attività di consulenza finanziaria,Privacy,Cancelix|Leakix,Luxpectorix|Cifrix,Altre attività di consulenza finanziaria — Pericolo vs Metodo81+,SICURIX_TALES_0959_661922_altre_attivit_di_consulenza_finanziaria_PRIVACY_v1.png
0960,66.19.90,"Altre attività ausiliarie dei servizi finanziari n.c.a., escluse assicurazioni e fondi pensione",Privacy,Leakix|Phishix,Privacix|Consensix,Altre attività ausiliarie dei servizi finanz — Pericolo vs Metodo81+,SICURIX_TALES_0960_661990_altre_attivit_ausiliarie_dei_servizi_fin_PRIVACY_v1.png
0961,66.21.00,Valutazione dei rischi e dei danni,Misto,Segnalex|Riskix|Phishix,Prepostix|Checkix,Valutazione dei rischi e dei danni — Pericolo vs Metodo81+,SICURIX_TALES_0961_662100_valutazione_dei_rischi_e_dei_danni_MISTO_v1.png
0962,66.22.00,Attività di agenti e intermediari delle assicurazioni,Privacy,Spyix|Hackix,Consensix|Luxpectorix,Attività di agenti e intermediari delle assi — Pericolo vs Metodo81+,SICURIX_TALES_0962_662200_attivit_di_agenti_e_intermediari_delle_a_PRIVACY_v1.png
0963,66.29.01,Attività di vigilanza su assicurazioni e fondi pensione,Privacy,Hackix|Permissionix,Documix|Privacix,Attività di vigilanza su assicurazioni e fon — Pericolo vs Metodo81+,SICURIX_TALES_0963_662901_attivit_di_vigilanza_su_assicurazioni_e__PRIVACY_v1.png
0964,66.29.09,Altre attività ausiliarie delle assicurazioni e dei fondi pensione n.c.a.,Privacy,Permissionix|Cancelix,Luxpectorix|Cifrix,Altre attività ausiliarie delle assicurazion — Pericolo vs Metodo81+,SICURIX_TALES_0964_662909_altre_attivit_ausiliarie_delle_assicuraz_PRIVACY_v1.png
0965,66.30.01,"Gestione di organismi di investimento collettivo del risparmio, fondi pensione e portafogli",Misto,Voltix|Fumix|Cancelix,Prepostix|Checkix,Gestione di organismi di investimento collet — Pericolo vs Metodo81+,SICURIX_TALES_0965_663001_gestione_di_organismi_di_investimento_co_MISTO_v1.png
0966,66.30.02,Servizi di gestione di trust,Misto,Fumix|Polverix|Leakix,Formix|Scudix,Servizi di gestione di trust — Pericolo vs Metodo81+,SICURIX_TALES_0966_663002_servizi_di_gestione_di_trust_MISTO_v1.png
0967,66.30.03,Servizi fiduciari e di custodia,Misto,Polverix|Nondpix|Phishix,Checkix|Prepostix,Servizi fiduciari e di custodia — Pericolo vs Metodo81+,SICURIX_TALES_0967_663003_servizi_fiduciari_e_di_custodia_MISTO_v1.png
0968,68.11.00,Compravendita di beni immobili effettuata su beni propri,Privacy,Spyix|Hackix,Documix|Privacix,Compravendita di beni immobili effettuata su — Pericolo vs Metodo81+,SICURIX_TALES_0968_681100_compravendita_di_beni_immobili_effettuat_PRIVACY_v1.png
0969,68.12.00,Sviluppo di progetti immobiliari,Privacy,Hackix|Permissionix,Luxpectorix|Cifrix,Sviluppo di progetti immobiliari — Pericolo vs Metodo81+,SICURIX_TALES_0969_681200_sviluppo_di_progetti_immobiliari_PRIVACY_v1.png
0970,68.20.01,Affitto e gestione di terreni per telecomunicazioni propri o in locazione,Privacy,Permissionix|Cancelix,Privacix|Consensix,Affitto e gestione di terreni per telecomuni — Pericolo vs Metodo81+,SICURIX_TALES_0970_682001_affitto_e_gestione_di_terreni_per_teleco_PRIVACY_v1.png
0971,68.20.02,"Affitto e gestione di altri terreni ed edifici non residenziali, impianti e fabbriche propri o in locazione",Privacy,Cancelix|Leakix,Cifrix|Documix,Affitto e gestione di altri terreni ed edifi — Pericolo vs Metodo81+,SICURIX_TALES_0971_682002_affitto_e_gestione_di_altri_terreni_ed_e_PRIVACY_v1.png
0972,68.20.09,Affitto e gestione di beni immobili propri o in locazione n.c.a.,Privacy,Leakix|Phishix,Consensix|Luxpectorix,Affitto e gestione di beni immobili propri o — Pericolo vs Metodo81+,SICURIX_TALES_0972_682009_affitto_e_gestione_di_beni_immobili_prop_PRIVACY_v1.png
0973,68.31.00,Attività di servizi di intermediazione per attività immobiliari,Privacy,Phishix|Spyix,Documix|Privacix,Attività di servizi di intermediazione per a — Pericolo vs Metodo81+,SICURIX_TALES_0973_683100_attivit_di_servizi_di_intermediazione_pe_PRIVACY_v1.png
0974,68.32.01,Gestione di beni immobili per conto terzi,Privacy,Spyix|Hackix,Luxpectorix|Cifrix,Gestione di beni immobili per conto terzi — Pericolo vs Metodo81+,SICURIX_TALES_0974_683201_gestione_di_beni_immobili_per_conto_terz_PRIVACY_v1.png
0975,68.32.09,Altre attività immobiliari per conto terzi n.c.a.,Privacy,Hackix|Permissionix,Privacix|Consensix,Altre attività immobiliari per conto terzi n — Pericolo vs Metodo81+,SICURIX_TALES_0975_683209_altre_attivit_immobiliari_per_conto_terz_PRIVACY_v1.png
0976,69.10.10,Attività legali e giuridiche,Misto,Cadutix|Schiaccix|Permissionix,Scudix|Formix,Attività legali e giuridiche — Pericolo vs Metodo81+,SICURIX_TALES_0976_691010_attivit_legali_e_giuridiche_MISTO_v1.png
0977,69.10.20,Attività notarili,Misto,Schiaccix|Voltix|Cancelix,Prepostix|Checkix,Attività notarili — Pericolo vs Metodo81+,SICURIX_TALES_0977_691020_attivit_notarili_MISTO_v1.png
0978,69.10.30,"Attività di supporto alle attività legali, giuridiche e notarili",Misto,Voltix|Fumix|Leakix,Formix|Scudix,"Attività di supporto alle attività legali, g — Pericolo vs Metodo81+",SICURIX_TALES_0978_691030_attivit_di_supporto_alle_attivit_legali__MISTO_v1.png
0979,69.20.01,Attività di commercialisti,Misto,Fumix|Polverix|Phishix,Checkix|Prepostix,Attività di commercialisti — Pericolo vs Metodo81+,SICURIX_TALES_0979_692001_attivit_di_commercialisti_MISTO_v1.png
0980,69.20.02,Attività di revisori legali in ambito contabile,Misto,Polverix|Nondpix|Spyix,Scudix|Formix,Attività di revisori legali in ambito contab — Pericolo vs Metodo81+,SICURIX_TALES_0980_692002_attivit_di_revisori_legali_in_ambito_con_MISTO_v1.png
0981,69.20.03,Attività di esperti contabili,Misto,Nondpix|Segnalex|Hackix,Prepostix|Checkix,Attività di esperti contabili — Pericolo vs Metodo81+,SICURIX_TALES_0981_692003_attivit_di_esperti_contabili_MISTO_v1.png
0982,69.20.04,Attività di consulenti del lavoro,Misto,Segnalex|Sottovalutix|Permissionix,Formix|Scudix,Attività di consulenti del lavoro — Pericolo vs Metodo81+,SICURIX_TALES_0982_692004_attivit_di_consulenti_del_lavoro_MISTO_v1.png
0983,69.20.05,Attività di altri soggetti simili in materia di contabilità delle retribuzioni e buste paga,Misto,Sottovalutix|Frettix|Cancelix,Checkix|Prepostix,Attività di altri soggetti simili in materia — Pericolo vs Metodo81+,SICURIX_TALES_0983_692005_attivit_di_altri_soggetti_simili_in_mate_MISTO_v1.png
0984,69.20.06,"Attività di altri consulenti, periti e altri soggetti simili in ambito tributario e contabile",Misto,Frettix|Improvvisix|Leakix,Scudix|Formix,"Attività di altri consulenti, periti e altri — Pericolo vs Metodo81+",SICURIX_TALES_0984_692006_attivit_di_altri_consulenti_periti_e_alt_MISTO_v1.png
0985,69.20.07,Attività di centri di assistenza fiscale,Misto,Improvvisix|Caosix|Phishix,Prepostix|Checkix,Attività di centri di assistenza fiscale — Pericolo vs Metodo81+,SICURIX_TALES_0985_692007_attivit_di_centri_di_assistenza_fiscale_MISTO_v1.png
0986,70.10.00,Attività di sedi centrali,Misto,Caosix|Segnalex|Spyix,Formix|Scudix,Attività di sedi centrali — Pericolo vs Metodo81+,SICURIX_TALES_0986_701000_attivit_di_sedi_centrali_MISTO_v1.png
0987,70.20.01,Attività di consulenza in materia di logistica,Privacy,Hackix|Permissionix,Consensix|Luxpectorix,Attività di consulenza in materia di logisti — Pericolo vs Metodo81+,SICURIX_TALES_0987_702001_attivit_di_consulenza_in_materia_di_logi_PRIVACY_v1.png
0988,70.20.02,Attività di certificazione di processi,Misto,Riskix|Cadutix|Permissionix,Scudix|Formix,Attività di certificazione di processi — Pericolo vs Metodo81+,SICURIX_TALES_0988_702002_attivit_di_certificazione_di_processi_MISTO_v1.png
0989,70.20.09,Consulenza imprenditoriale e altre attività di consulenza gestionale n.c.a.,Privacy,Cancelix|Leakix,Luxpectorix|Cifrix,Consulenza imprenditoriale e altre attività  — Pericolo vs Metodo81+,SICURIX_TALES_0989_702009_consulenza_imprenditoriale_e_altre_attiv_PRIVACY_v1.png
0990,71.11.01,"Progettazione, pianificazione e supervisione di scavi archeologici",Misto,Schiaccix|Voltix|Leakix,Formix|Scudix,"Progettazione, pianificazione e supervisione — Pericolo vs Metodo81+",SICURIX_TALES_0990_711101_progettazione_pianificazione_e_supervisi_MISTO_v1.png
0991,71.11.09,Attività di architettura n.c.a.,Misto,Voltix|Fumix|Phishix,Checkix|Prepostix,Attività di architettura n.c.a. — Pericolo vs Metodo81+,SICURIX_TALES_0991_711109_attivit_di_architettura_n_c_a_MISTO_v1.png
0992,71.12.10,Attività di ingegneria,Misto,Fumix|Polverix|Spyix,Scudix|Formix,Attività di ingegneria — Pericolo vs Metodo81+,SICURIX_TALES_0992_711210_attivit_di_ingegneria_MISTO_v1.png
0993,71.12.20,Gestione di progetti relativi a opere di ingegneria integrata,Misto,Polverix|Nondpix|Hackix,Prepostix|Checkix,Gestione di progetti relativi a opere di ing — Pericolo vs Metodo81+,SICURIX_TALES_0993_711220_gestione_di_progetti_relativi_a_opere_di_MISTO_v1.png
0994,71.12.30,Elaborazione e supervisione di progetti da parte di geometri,Misto,Nondpix|Segnalex|Permissionix,Formix|Scudix,Elaborazione e supervisione di progetti da p — Pericolo vs Metodo81+,SICURIX_TALES_0994_711230_elaborazione_e_supervisione_di_progetti__MISTO_v1.png
0995,71.12.40,Attività di cartografia e aerofotogrammetria,Misto,Segnalex|Sottovalutix|Cancelix,Checkix|Prepostix,Attività di cartografia e aerofotogrammetria — Pericolo vs Metodo81+,SICURIX_TALES_0995_711240_attivit_di_cartografia_e_aerofotogrammet_MISTO_v1.png
0996,71.12.50,"Attività di geologia, di prospezione geognostica e mineraria",Misto,Sottovalutix|Frettix|Leakix,Scudix|Formix,"Attività di geologia, di prospezione geognos — Pericolo vs Metodo81+",SICURIX_TALES_0996_711250_attivit_di_geologia_di_prospezione_geogn_MISTO_v1.png
0997,71.20.11,Collaudi e analisi tecniche per indagini archeologiche,Misto,Frettix|Improvvisix|Phishix,Prepostix|Checkix,Collaudi e analisi tecniche per indagini arc — Pericolo vs Metodo81+,SICURIX_TALES_0997_712011_collaudi_e_analisi_tecniche_per_indagini_MISTO_v1.png
0998,71.20.19,Altri collaudi e analisi tecniche di prodotti,Misto,Improvvisix|Caosix|Spyix,Formix|Scudix,Altri collaudi e analisi tecniche di prodott — Pericolo vs Metodo81+,SICURIX_TALES_0998_712019_altri_collaudi_e_analisi_tecniche_di_pro_MISTO_v1.png
0999,71.20.21,Attività di riconoscimento dell'origine dei prodotti,Misto,Caosix|Segnalex|Hackix,Checkix|Prepostix,Attività di riconoscimento dell'origine dei  — Pericolo vs Metodo81+,SICURIX_TALES_0999_712021_attivit_di_riconoscimento_dell_origine_d_MISTO_v1.png
1000,71.20.22,Revisione periodica a norma di legge dell'idoneità alla circolazione di autoveicoli e motocicli,Misto,Segnalex|Riskix|Permissionix,Scudix|Formix,Revisione periodica a norma di legge dell'id — Pericolo vs Metodo81+,SICURIX_TALES_1000_712022_revisione_periodica_a_norma_di_legge_del_MISTO_v1.png
