pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
1101,82.91.10,Attività di recupero crediti,Misto,Frettix|Improvvisix|Hackix,Prepostix|Checkix,Attività di recupero crediti — Pericolo vs Metodo81+,SICURIX_TALES_1101_829110_attivit_di_recupero_crediti_MISTO_v1.png
1102,82.91.20,Attività di raccolta e fornitura di informazioni commerciali e di rating,Misto,Improvvisix|Caosix|Permissionix,Formix|Scudix,Attività di raccolta e fornitura di informaz — Pericolo vs Metodo81+,SICURIX_TALES_1102_829120_attivit_di_raccolta_e_fornitura_di_infor_MISTO_v1.png
1103,82.92.10,Attività di imballaggio di generi alimentari,HACCP,Mescolix|Dosagix,Blinkix|Chefix,Attività di imballaggio di generi alimentari — Pericolo vs Metodo81+,SICURIX_TALES_1103_829210_attivit_di_imballaggio_di_generi_aliment_HACCP_v1.png
1104,82.92.20,Attività di imballaggio di generi non alimentari,HACCP,Dosagix|Acquaix,Checkix|Hygienix,Attività di imballaggio di generi non alimen — Pericolo vs Metodo81+,SICURIX_TALES_1104_829220_attivit_di_imballaggio_di_generi_non_ali_HACCP_v1.png
1105,82.99.11,Fornitura di assistenza per la registrazione di autoveicoli,Misto,Riskix|Cadutix|Phishix,Prepostix|Checkix,Fornitura di assistenza per la registrazione — Pericolo vs Metodo81+,SICURIX_TALES_1105_829911_fornitura_di_assistenza_per_la_registraz_MISTO_v1.png
1106,82.99.19,Richiesta certificati e disbrigo pratiche n.c.a.,Misto,Cadutix|Schiaccix|Spyix,Formix|Scudix,Richiesta certificati e disbrigo pratiche n. — Pericolo vs Metodo81+,SICURIX_TALES_1106_829919_richiesta_certificati_e_disbrigo_pratich_MISTO_v1.png
1107,82.99.91,Rilevamento del consumo di calore e acqua calda,Misto,Schiaccix|Voltix|Hackix,Checkix|Prepostix,Rilevamento del consumo di calore e acqua ca — Pericolo vs Metodo81+,SICURIX_TALES_1107_829991_rilevamento_del_consumo_di_calore_e_acqu_MISTO_v1.png
1108,82.99.99,Tutti gli altri servizi vari di supporto alle imprese n.c.a.,Misto,Voltix|Fumix|Permissionix,Scudix|Formix,Tutti gli altri servizi vari di supporto all — Pericolo vs Metodo81+,SICURIX_TALES_1108_829999_tutti_gli_altri_servizi_vari_di_supporto_MISTO_v1.png
1109,84.11.10,Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali,Privacy,Cancelix|Leakix,Luxpectorix|Cifrix,Attività degli organi legislativi ed esecuti — Pericolo vs Metodo81+,SICURIX_TALES_1109_841110_attivit_degli_organi_legislativi_ed_esec_PRIVACY_v1.png
1110,84.11.20,Servizi di gestione esattoriale per conto terzi,Privacy,Leakix|Phishix,Privacix|Consensix,Servizi di gestione esattoriale per conto te — Pericolo vs Metodo81+,SICURIX_TALES_1110_841120_servizi_di_gestione_esattoriale_per_cont_PRIVACY_v1.png
1111,84.11.30,Attività di pianificazione generale e servizi statistici generali,Privacy,Phishix|Spyix,Cifrix|Documix,Attività di pianificazione generale e serviz — Pericolo vs Metodo81+,SICURIX_TALES_1111_841130_attivit_di_pianificazione_generale_e_ser_PRIVACY_v1.png
1112,84.12.10,Regolamentazione dei servizi di assistenza sanitaria,Privacy,Spyix|Hackix,Consensix|Luxpectorix,Regolamentazione dei servizi di assistenza s — Pericolo vs Metodo81+,SICURIX_TALES_1112_841210_regolamentazione_dei_servizi_di_assisten_PRIVACY_v1.png
1113,84.12.20,Regolamentazione dei servizi di istruzione,Privacy,Hackix|Permissionix,Documix|Privacix,Regolamentazione dei servizi di istruzione — Pericolo vs Metodo81+,SICURIX_TALES_1113_841220_regolamentazione_dei_servizi_di_istruzio_PRIVACY_v1.png
1114,84.12.30,Regolamentazione dei servizi per l'edilizia abitativa e la tutela dell'ambiente,Privacy,Permissionix|Cancelix,Luxpectorix|Cifrix,Regolamentazione dei servizi per l'edilizia  — Pericolo vs Metodo81+,SICURIX_TALES_1114_841230_regolamentazione_dei_servizi_per_l_edili_PRIVACY_v1.png
1115,84.12.40,Regolamentazione dei servizi culturali e di altri servizi sociali,Privacy,Cancelix|Leakix,Privacix|Consensix,Regolamentazione dei servizi culturali e di  — Pericolo vs Metodo81+,SICURIX_TALES_1115_841240_regolamentazione_dei_servizi_culturali_e_PRIVACY_v1.png
1116,84.13.10,"Regolamentazione dei servizi connessi a agricoltura, silvicoltura, caccia e pesca",Privacy,Leakix|Phishix,Cifrix|Documix,Regolamentazione dei servizi connessi a agri — Pericolo vs Metodo81+,SICURIX_TALES_1116_841310_regolamentazione_dei_servizi_connessi_a__PRIVACY_v1.png
1117,84.13.20,Regolamentazione dei servizi connessi a combustibili ed energia,Privacy,Phishix|Spyix,Consensix|Luxpectorix,Regolamentazione dei servizi connessi a comb — Pericolo vs Metodo81+,SICURIX_TALES_1117_841320_regolamentazione_dei_servizi_connessi_a__PRIVACY_v1.png
1118,84.13.30,"Regolamentazione dei servizi connessi a industrie estrattive e risorse minerarie, industrie manifatturiere e di costruzione",Privacy,Spyix|Hackix,Documix|Privacix,Regolamentazione dei servizi connessi a indu — Pericolo vs Metodo81+,SICURIX_TALES_1118_841330_regolamentazione_dei_servizi_connessi_a__PRIVACY_v1.png
1119,84.13.40,Regolamentazione dei servizi connessi a trasporti e comunicazioni,Privacy,Hackix|Permissionix,Luxpectorix|Cifrix,Regolamentazione dei servizi connessi a tras — Pericolo vs Metodo81+,SICURIX_TALES_1119_841340_regolamentazione_dei_servizi_connessi_a__PRIVACY_v1.png
1120,84.13.50,"Regolamentazione dei servizi connessi a commercio, servizi di alloggio e ristorazione",Privacy,Permissionix|Cancelix,Privacix|Consensix,Regolamentazione dei servizi connessi a comm — Pericolo vs Metodo81+,SICURIX_TALES_1120_841350_regolamentazione_dei_servizi_connessi_a__PRIVACY_v1.png
1121,84.13.60,Regolamentazione dei servizi connessi al turismo,Privacy,Cancelix|Leakix,Cifrix|Documix,Regolamentazione dei servizi connessi al tur — Pericolo vs Metodo81+,SICURIX_TALES_1121_841360_regolamentazione_dei_servizi_connessi_al_PRIVACY_v1.png
1122,84.13.90,Regolamentazione di altri servizi,Privacy,Leakix|Phishix,Consensix|Luxpectorix,Regolamentazione di altri servizi — Pericolo vs Metodo81+,SICURIX_TALES_1122_841390_regolamentazione_di_altri_servizi_PRIVACY_v1.png
1123,84.21.00,Affari esteri,Privacy,Phishix|Spyix,Documix|Privacix,Affari esteri — Pericolo vs Metodo81+,SICURIX_TALES_1123_842100_affari_esteri_PRIVACY_v1.png
1124,84.22.00,Difesa nazionale,Privacy,Spyix|Hackix,Luxpectorix|Cifrix,Difesa nazionale — Pericolo vs Metodo81+,SICURIX_TALES_1124_842200_difesa_nazionale_PRIVACY_v1.png
1125,84.23.00,Giustizia e attività giudiziarie,Privacy,Hackix|Permissionix,Privacix|Consensix,Giustizia e attività giudiziarie — Pericolo vs Metodo81+,SICURIX_TALES_1125_842300_giustizia_e_attivit_giudiziarie_PRIVACY_v1.png
1126,84.24.10,Ordine pubblico e sicurezza nazionale delle Forze dell'Ordine,Privacy,Permissionix|Cancelix,Cifrix|Documix,Ordine pubblico e sicurezza nazionale delle  — Pericolo vs Metodo81+,SICURIX_TALES_1126_842410_ordine_pubblico_e_sicurezza_nazionale_de_PRIVACY_v1.png
1127,84.24.20,Attività di supporto all'ordine pubblico e alla sicurezza nazionale fornite dalla Protezione Civile,Privacy,Cancelix|Leakix,Consensix|Luxpectorix,Attività di supporto all'ordine pubblico e a — Pericolo vs Metodo81+,SICURIX_TALES_1127_842420_attivit_di_supporto_all_ordine_pubblico__PRIVACY_v1.png
1128,84.25.00,Servizi antincendio,Privacy,Leakix|Phishix,Documix|Privacix,Servizi antincendio — Pericolo vs Metodo81+,SICURIX_TALES_1128_842500_servizi_antincendio_PRIVACY_v1.png
1129,84.30.00,Assicurazione sociale obbligatoria,Privacy,Phishix|Spyix,Luxpectorix|Cifrix,Assicurazione sociale obbligatoria — Pericolo vs Metodo81+,SICURIX_TALES_1129_843000_assicurazione_sociale_obbligatoria_PRIVACY_v1.png
1130,85.10.00,Istruzione prescolastica,Privacy,Spyix|Hackix,Privacix|Consensix,Istruzione prescolastica — Pericolo vs Metodo81+,SICURIX_TALES_1130_851000_istruzione_prescolastica_PRIVACY_v1.png
1131,85.20.00,Istruzione primaria,Privacy,Hackix|Permissionix,Cifrix|Documix,Istruzione primaria — Pericolo vs Metodo81+,SICURIX_TALES_1131_852000_istruzione_primaria_PRIVACY_v1.png
1132,85.31.10,Istruzione secondaria di formazione generale di primo grado,Privacy,Permissionix|Cancelix,Consensix|Luxpectorix,Istruzione secondaria di formazione generale — Pericolo vs Metodo81+,SICURIX_TALES_1132_853110_istruzione_secondaria_di_formazione_gene_PRIVACY_v1.png
1133,85.31.20,Istruzione secondaria di formazione generale di secondo grado,Privacy,Cancelix|Leakix,Documix|Privacix,Istruzione secondaria di formazione generale — Pericolo vs Metodo81+,SICURIX_TALES_1133_853120_istruzione_secondaria_di_formazione_gene_PRIVACY_v1.png
1134,85.32.01,Istruzione secondaria professionale erogata da scuole di vela e navigazione,Privacy,Leakix|Phishix,Luxpectorix|Cifrix,Istruzione secondaria professionale erogata  — Pericolo vs Metodo81+,SICURIX_TALES_1134_853201_istruzione_secondaria_professionale_erog_PRIVACY_v1.png
1135,85.32.02,Istruzione secondaria professionale erogata da scuole di volo,Privacy,Phishix|Spyix,Privacix|Consensix,Istruzione secondaria professionale erogata  — Pericolo vs Metodo81+,SICURIX_TALES_1135_853202_istruzione_secondaria_professionale_erog_PRIVACY_v1.png
1136,85.32.03,Istruzione secondaria professionale erogata da scuole di guida,Privacy,Spyix|Hackix,Cifrix|Documix,Istruzione secondaria professionale erogata  — Pericolo vs Metodo81+,SICURIX_TALES_1136_853203_istruzione_secondaria_professionale_erog_PRIVACY_v1.png
1137,85.32.09,Altra istruzione secondaria professionale n.c.a.,Privacy,Hackix|Permissionix,Consensix|Luxpectorix,Altra istruzione secondaria professionale n. — Pericolo vs Metodo81+,SICURIX_TALES_1137_853209_altra_istruzione_secondaria_professional_PRIVACY_v1.png
1138,85.33.00,Istruzione post-secondaria non terziaria,Privacy,Permissionix|Cancelix,Documix|Privacix,Istruzione post-secondaria non terziaria — Pericolo vs Metodo81+,SICURIX_TALES_1138_853300_istruzione_post_secondaria_non_terziaria_PRIVACY_v1.png
