pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
1251,95.29.91,"Affilatura di coltelli, servizi di duplicazione di chiavi e di incisione rapida",Sicurezza,Voltix|Fumix,Checkix|Prepostix,"Affilatura di coltelli, servizi di duplicazi — Pericolo vs Metodo81+",SICURIX_TALES_1251_952991_affilatura_di_coltelli_servizi_di_duplic_SICUREZZA_v1.png
1252,95.29.99,Riparazione e manutenzione di altri beni vari per uso personale e per la casa n.c.a.,Sicurezza,Fumix|Polverix,Scudix|Formix,Riparazione e manutenzione di altri beni var — Pericolo vs Metodo81+,SICURIX_TALES_1252_952999_riparazione_e_manutenzione_di_altri_beni_SICUREZZA_v1.png
1253,95.31.10,"Riparazione e manutenzione meccanica, elettrica ed elettronica di autoveicoli",Sicurezza,Polverix|Nondpix,Prepostix|Checkix,"Riparazione e manutenzione meccanica, elettr — Pericolo vs Metodo81+",SICURIX_TALES_1253_953110_riparazione_e_manutenzione_meccanica_ele_SICUREZZA_v1.png
1254,95.31.20,Riparazione e manutenzione di carrozzerie di autoveicoli,Sicurezza,Nondpix|Segnalex,Formix|Scudix,Riparazione e manutenzione di carrozzerie di — Pericolo vs Metodo81+,SICURIX_TALES_1254_953120_riparazione_e_manutenzione_di_carrozzeri_SICUREZZA_v1.png
1255,95.31.30,"Riparazione, montaggio o sostituzione di pneumatici e camere d'aria di autoveicoli",Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,"Riparazione, montaggio o sostituzione di pne — Pericolo vs Metodo81+",SICURIX_TALES_1255_953130_riparazione_montaggio_o_sostituzione_di__SICUREZZA_v1.png
1256,95.31.91,Lavaggio di autoveicoli,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Lavaggio di autoveicoli — Pericolo vs Metodo81+,SICURIX_TALES_1256_953191_lavaggio_di_autoveicoli_SICUREZZA_v1.png
1257,95.31.92,Riparazione e manutenzione di cellule abitative per caravan e autocaravan,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Riparazione e manutenzione di cellule abitat — Pericolo vs Metodo81+,SICURIX_TALES_1257_953192_riparazione_e_manutenzione_di_cellule_ab_SICUREZZA_v1.png
1258,95.31.99,Altre attività di riparazione e manutenzione di autoveicoli n.c.a.,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Altre attività di riparazione e manutenzione — Pericolo vs Metodo81+,SICURIX_TALES_1258_953199_altre_attivit_di_riparazione_e_manutenzi_SICUREZZA_v1.png
1259,95.32.00,Riparazione e manutenzione di motocicli,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Riparazione e manutenzione di motocicli — Pericolo vs Metodo81+,SICURIX_TALES_1259_953200_riparazione_e_manutenzione_di_motocicli_SICUREZZA_v1.png
1260,95.40.00,"Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli",Sicurezza,Segnalex|Riskix,Scudix|Formix,Attività di servizi di intermediazione per l — Pericolo vs Metodo81+,SICURIX_TALES_1260_954000_attivit_di_servizi_di_intermediazione_pe_SICUREZZA_v1.png
