pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0101,10.81.00,Produzione di zucchero,Sicurezza,Improvvisix|Caosix,Prepostix|Checkix,Produzione di zucchero — Pericolo vs Metodo81+,SICURIX_TALES_0101_108100_produzione_di_zucchero_SICUREZZA_v1.png
0102,10.82.00,"Produzione di cacao, cioccolato, caramelle e confetterie",Sicurezza,Caosix|Segnalex,Formix|Scudix,"Produzione di cacao, cioccolato, caramelle e — Pericolo vs Metodo81+",SICURIX_TALES_0102_108200_produzione_di_cacao_cioccolato_caramelle_SICUREZZA_v1.png
0103,10.83.01,Lavorazione di tè e di altri preparati per infusi,Sicurezza,Segnalex|Riskix,Checkix|Prepostix,Lavorazione di tè e di altri preparati per i — Pericolo vs Metodo81+,SICURIX_TALES_0103_108301_lavorazione_di_t_e_di_altri_preparati_pe_SICUREZZA_v1.png
0104,10.83.02,Lavorazione di caffè,Sicurezza,Riskix|Cadutix,Scudix|Formix,Lavorazione di caffè — Pericolo vs Metodo81+,SICURIX_TALES_0104_108302_lavorazione_di_caff_SICUREZZA_v1.png
0105,10.84.00,Produzione di condimenti e spezie,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Produzione di condimenti e spezie — Pericolo vs Metodo81+,SICURIX_TALES_0105_108400_produzione_di_condimenti_e_spezie_SICUREZZA_v1.png
0106,10.85.01,"Produzione di pasti e piatti preparati a base di carne, inclusi pasti e piatti preparati a base di carne di volatili",HACCP,Crossix|Temporix,Hygienix|Blinkix,Produzione di pasti e piatti preparati a bas — Pericolo vs Metodo81+,SICURIX_TALES_0106_108501_produzione_di_pasti_e_piatti_preparati_a_HACCP_v1.png
0107,10.85.02,Produzione di pasti e piatti preparati a base di pesce,HACCP,Temporix|Scadutix,Traccix|Checkix,Produzione di pasti e piatti preparati a bas — Pericolo vs Metodo81+,SICURIX_TALES_0107_108502_produzione_di_pasti_e_piatti_preparati_a_HACCP_v1.png
0108,10.85.03,Produzione di pasti e piatti preparati a base di ortaggi,Sicurezza,Fumix|Polverix,Scudix|Formix,Produzione di pasti e piatti preparati a bas — Pericolo vs Metodo81+,SICURIX_TALES_0108_108503_produzione_di_pasti_e_piatti_preparati_a_SICUREZZA_v1.png
0109,10.85.04,Produzione di pizza surgelata o altrimenti conservata,HACCP,Mescolix|Dosagix,Checkix|Hygienix,Produzione di pizza surgelata o altrimenti c — Pericolo vs Metodo81+,SICURIX_TALES_0109_108504_produzione_di_pizza_surgelata_o_altrimen_HACCP_v1.png
0110,10.85.05,Produzione di pasti e piatti preparati a base di pasta,Sicurezza,Nondpix|Segnalex,Formix|Scudix,Produzione di pasti e piatti preparati a bas — Pericolo vs Metodo81+,SICURIX_TALES_0110_108505_produzione_di_pasti_e_piatti_preparati_a_SICUREZZA_v1.png
0111,10.85.09,Produzione di altri pasti e piatti preparati,Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Produzione di altri pasti e piatti preparati — Pericolo vs Metodo81+,SICURIX_TALES_0111_108509_produzione_di_altri_pasti_e_piatti_prepa_SICUREZZA_v1.png
0112,10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici,HACCP,Sporckix|Crossix,Traccix|Checkix,Produzione di preparati omogeneizzati e di a — Pericolo vs Metodo81+,SICURIX_TALES_0112_108600_produzione_di_preparati_omogeneizzati_e__HACCP_v1.png
0113,10.89.01,Produzione di integratori alimentari,HACCP,Crossix|Temporix,Blinkix|Chefix,Produzione di integratori alimentari — Pericolo vs Metodo81+,SICURIX_TALES_0113_108901_produzione_di_integratori_alimentari_HACCP_v1.png
0114,10.89.09,Produzione di altri prodotti alimentari vari n.c.a.,HACCP,Temporix|Scadutix,Checkix|Hygienix,Produzione di altri prodotti alimentari vari — Pericolo vs Metodo81+,SICURIX_TALES_0114_108909_produzione_di_altri_prodotti_alimentari__HACCP_v1.png
0115,10.91.00,Produzione di mangimi per l'alimentazione degli animali da allevamento,HACCP,Scadutix|Mescolix,Chefix|Traccix,Produzione di mangimi per l'alimentazione de — Pericolo vs Metodo81+,SICURIX_TALES_0115_109100_produzione_di_mangimi_per_l_alimentazion_HACCP_v1.png
0116,10.92.00,Produzione di prodotti per l'alimentazione degli animali da compagnia,HACCP,Mescolix|Dosagix,Hygienix|Blinkix,Produzione di prodotti per l'alimentazione d — Pericolo vs Metodo81+,SICURIX_TALES_0116_109200_produzione_di_prodotti_per_l_alimentazio_HACCP_v1.png
0117,11.01.00,"Distillazione, rettifica e miscelatura di alcolici",Sicurezza,Riskix|Cadutix,Prepostix|Checkix,"Distillazione, rettifica e miscelatura di al — Pericolo vs Metodo81+",SICURIX_TALES_0117_110100_distillazione_rettifica_e_miscelatura_di_SICUREZZA_v1.png
0118,11.02.10,"Produzione di vini, esclusi vini spumanti e altri vini speciali",Sicurezza,Cadutix|Schiaccix,Formix|Scudix,"Produzione di vini, esclusi vini spumanti e  — Pericolo vs Metodo81+",SICURIX_TALES_0118_110210_produzione_di_vini_esclusi_vini_spumanti_SICUREZZA_v1.png
0119,11.02.20,Produzione di vini spumanti e altri vini speciali,Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Produzione di vini spumanti e altri vini spe — Pericolo vs Metodo81+,SICURIX_TALES_0119_110220_produzione_di_vini_spumanti_e_altri_vini_SICUREZZA_v1.png
0120,11.03.00,Produzione di sidro e di altre bevande fermentate a base di frutta,HACCP,Crossix|Temporix,Chefix|Traccix,Produzione di sidro e di altre bevande ferme — Pericolo vs Metodo81+,SICURIX_TALES_0120_110300_produzione_di_sidro_e_di_altre_bevande_f_HACCP_v1.png
0121,11.04.00,Produzione di altre bevande fermentate non distillate,HACCP,Temporix|Scadutix,Hygienix|Blinkix,Produzione di altre bevande fermentate non d — Pericolo vs Metodo81+,SICURIX_TALES_0121_110400_produzione_di_altre_bevande_fermentate_n_HACCP_v1.png
0122,11.05.00,Produzione di birra,Sicurezza,Polverix|Nondpix,Formix|Scudix,Produzione di birra — Pericolo vs Metodo81+,SICURIX_TALES_0122_110500_produzione_di_birra_SICUREZZA_v1.png
0123,11.06.00,Produzione di malto,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Produzione di malto — Pericolo vs Metodo81+,SICURIX_TALES_0123_110600_produzione_di_malto_SICUREZZA_v1.png
0124,11.07.01,Produzione di bibite analcoliche,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Produzione di bibite analcoliche — Pericolo vs Metodo81+,SICURIX_TALES_0124_110701_produzione_di_bibite_analcoliche_SICUREZZA_v1.png
0125,11.07.02,Produzione di acque in bottiglia,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Produzione di acque in bottiglia — Pericolo vs Metodo81+,SICURIX_TALES_0125_110702_produzione_di_acque_in_bottiglia_SICUREZZA_v1.png
0126,12.00.00,Produzione di prodotti del tabacco,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Produzione di prodotti del tabacco — Pericolo vs Metodo81+,SICURIX_TALES_0126_120000_produzione_di_prodotti_del_tabacco_SICUREZZA_v1.png
0127,13.10.00,Preparazione e filatura di fibre tessili,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Preparazione e filatura di fibre tessili — Pericolo vs Metodo81+,SICURIX_TALES_0127_131000_preparazione_e_filatura_di_fibre_tessili_SICUREZZA_v1.png
0128,13.20.00,Tessitura,Sicurezza,Caosix|Segnalex,Scudix|Formix,Tessitura — Pericolo vs Metodo81+,SICURIX_TALES_0128_132000_tessitura_SICUREZZA_v1.png
0129,13.30.00,Finissaggio dei tessili,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Finissaggio dei tessili — Pericolo vs Metodo81+,SICURIX_TALES_0129_133000_finissaggio_dei_tessili_SICUREZZA_v1.png
0130,13.91.00,Fabbricazione di tessuti a maglia e all'uncinetto,Sicurezza,Riskix|Cadutix,Formix|Scudix,Fabbricazione di tessuti a maglia e all'unci — Pericolo vs Metodo81+,SICURIX_TALES_0130_139100_fabbricazione_di_tessuti_a_maglia_e_all__SICUREZZA_v1.png
0131,13.92.10,Fabbricazione di tessili per la casa,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Fabbricazione di tessili per la casa — Pericolo vs Metodo81+,SICURIX_TALES_0131_139210_fabbricazione_di_tessili_per_la_casa_SICUREZZA_v1.png
0132,13.92.20,Fabbricazione di tessili per l'arredo,Sicurezza,Schiaccix|Voltix,Scudix|Formix,Fabbricazione di tessili per l'arredo — Pericolo vs Metodo81+,SICURIX_TALES_0132_139220_fabbricazione_di_tessili_per_l_arredo_SICUREZZA_v1.png
0133,13.93.00,Fabbricazione di tappeti e moquette,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Fabbricazione di tappeti e moquette — Pericolo vs Metodo81+,SICURIX_TALES_0133_139300_fabbricazione_di_tappeti_e_moquette_SICUREZZA_v1.png
0134,13.94.00,"Fabbricazione di spago, corde, funi e reti",Sicurezza,Fumix|Polverix,Formix|Scudix,"Fabbricazione di spago, corde, funi e reti — Pericolo vs Metodo81+",SICURIX_TALES_0134_139400_fabbricazione_di_spago_corde_funi_e_reti_SICUREZZA_v1.png
0135,13.95.00,Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Fabbricazione di tessuti non-tessuti e di ar — Pericolo vs Metodo81+,SICURIX_TALES_0135_139500_fabbricazione_di_tessuti_non_tessuti_e_d_SICUREZZA_v1.png
0136,13.96.00,Fabbricazione di altri tessuti per uso tecnico e industriale,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Fabbricazione di altri tessuti per uso tecni — Pericolo vs Metodo81+,SICURIX_TALES_0136_139600_fabbricazione_di_altri_tessuti_per_uso_t_SICUREZZA_v1.png
0137,13.99.10,"Fabbricazione di ricami, tulle, pizzi e merletti",Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,"Fabbricazione di ricami, tulle, pizzi e merl — Pericolo vs Metodo81+",SICURIX_TALES_0137_139910_fabbricazione_di_ricami_tulle_pizzi_e_me_SICUREZZA_v1.png
0138,13.99.90,Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Fabbricazione di feltro e altri prodotti tes — Pericolo vs Metodo81+,SICURIX_TALES_0138_139990_fabbricazione_di_feltro_e_altri_prodotti_SICUREZZA_v1.png
0139,14.10.10,Fabbricazione di articoli di calzetteria a maglia e all'uncinetto,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Fabbricazione di articoli di calzetteria a m — Pericolo vs Metodo81+,SICURIX_TALES_0139_141010_fabbricazione_di_articoli_di_calzetteria_SICUREZZA_v1.png
0140,14.10.20,Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Fabbricazione di maglioni e altri articoli a — Pericolo vs Metodo81+,SICURIX_TALES_0140_141020_fabbricazione_di_maglioni_e_altri_artico_SICUREZZA_v1.png
0141,14.21.10,Fabbricazione in serie di abbigliamento esterno,Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Fabbricazione in serie di abbigliamento este — Pericolo vs Metodo81+,SICURIX_TALES_0141_142110_fabbricazione_in_serie_di_abbigliamento__SICUREZZA_v1.png
0142,14.21.20,Sartoria e confezione su misura di abbigliamento esterno,Sicurezza,Segnalex|Riskix,Formix|Scudix,Sartoria e confezione su misura di abbigliam — Pericolo vs Metodo81+,SICURIX_TALES_0142_142120_sartoria_e_confezione_su_misura_di_abbig_SICUREZZA_v1.png
0143,14.22.00,Fabbricazione di biancheria intima,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Fabbricazione di biancheria intima — Pericolo vs Metodo81+,SICURIX_TALES_0143_142200_fabbricazione_di_biancheria_intima_SICUREZZA_v1.png
0144,14.23.00,Fabbricazione di indumenti da lavoro,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Fabbricazione di indumenti da lavoro — Pericolo vs Metodo81+,SICURIX_TALES_0144_142300_fabbricazione_di_indumenti_da_lavoro_SICUREZZA_v1.png
0145,14.24.00,Fabbricazione di abbigliamento in pelle e in pelliccia,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Fabbricazione di abbigliamento in pelle e in — Pericolo vs Metodo81+,SICURIX_TALES_0145_142400_fabbricazione_di_abbigliamento_in_pelle__SICUREZZA_v1.png
0146,14.29.00,Fabbricazione di altri articoli di abbigliamento e accessori n.c.a.,Sicurezza,Voltix|Fumix,Formix|Scudix,Fabbricazione di altri articoli di abbigliam — Pericolo vs Metodo81+,SICURIX_TALES_0146_142900_fabbricazione_di_altri_articoli_di_abbig_SICUREZZA_v1.png
0147,15.11.00,"Concia, tintura e rifinizione di pelli, cuoi e pellicce",Sicurezza,Fumix|Polverix,Checkix|Prepostix,"Concia, tintura e rifinizione di pelli, cuoi — Pericolo vs Metodo81+",SICURIX_TALES_0147_151100_concia_tintura_e_rifinizione_di_pelli_cu_SICUREZZA_v1.png
0148,15.12.00,"Fabbricazione di articoli da viaggio, borse, pelletteria e selleria di qualsiasi materiale",Sicurezza,Polverix|Nondpix,Scudix|Formix,"Fabbricazione di articoli da viaggio, borse, — Pericolo vs Metodo81+",SICURIX_TALES_0148_151200_fabbricazione_di_articoli_da_viaggio_bor_SICUREZZA_v1.png
0149,15.20.10,"Fabbricazione di calzature, escluse parti in cuoio per calzature",Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,"Fabbricazione di calzature, escluse parti in — Pericolo vs Metodo81+",SICURIX_TALES_0149_152010_fabbricazione_di_calzature_escluse_parti_SICUREZZA_v1.png
0150,15.20.20,Fabbricazione di parti in cuoio per calzature,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Fabbricazione di parti in cuoio per calzatur — Pericolo vs Metodo81+,SICURIX_TALES_0150_152020_fabbricazione_di_parti_in_cuoio_per_calz_SICUREZZA_v1.png
