pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0501,38.23.00,Altre attività di recupero dei rifiuti,Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,Altre attività di recupero dei rifiuti — Pericolo vs Metodo81+,SICURIX_TALES_0501_382300_altre_attivit_di_recupero_dei_rifiuti_SICUREZZA_v1.png
0502,38.31.00,Incenerimento senza recupero di energia,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Incenerimento senza recupero di energia — Pericolo vs Metodo81+,SICURIX_TALES_0502_383100_incenerimento_senza_recupero_di_energia_SICUREZZA_v1.png
0503,38.32.00,Conferimento in discarica o stoccaggio permanente,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Conferimento in discarica o stoccaggio perma — Pericolo vs Metodo81+,SICURIX_TALES_0503_383200_conferimento_in_discarica_o_stoccaggio_p_SICUREZZA_v1.png
0504,38.33.00,Altre attività di smaltimento dei rifiuti,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Altre attività di smaltimento dei rifiuti — Pericolo vs Metodo81+,SICURIX_TALES_0504_383300_altre_attivit_di_smaltimento_dei_rifiuti_SICUREZZA_v1.png
0505,39.00.01,"Attività di rimozione di amianto, vernici a base di piombo e altri materiali tossici",Sicurezza,Caosix|Segnalex,Prepostix|Checkix,"Attività di rimozione di amianto, vernici a  — Pericolo vs Metodo81+",SICURIX_TALES_0505_390001_attivit_di_rimozione_di_amianto_vernici__SICUREZZA_v1.png
0506,39.00.09,Attività di risanamento e altri servizi di gestione dei rifiuti n.c.a.,Sicurezza,Segnalex|Riskix,Formix|Scudix,Attività di risanamento e altri servizi di g — Pericolo vs Metodo81+,SICURIX_TALES_0506_390009_attivit_di_risanamento_e_altri_servizi_d_SICUREZZA_v1.png
0507,41.00.00,Costruzione di edifici residenziali e non residenziali,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Costruzione di edifici residenziali e non re — Pericolo vs Metodo81+,SICURIX_TALES_0507_410000_costruzione_di_edifici_residenziali_e_no_SICUREZZA_v1.png
0508,42.11.00,Costruzione di strade e autostrade,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Costruzione di strade e autostrade — Pericolo vs Metodo81+,SICURIX_TALES_0508_421100_costruzione_di_strade_e_autostrade_SICUREZZA_v1.png
0509,42.12.00,Costruzione di linee ferroviarie e metropolitane,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Costruzione di linee ferroviarie e metropoli — Pericolo vs Metodo81+,SICURIX_TALES_0509_421200_costruzione_di_linee_ferroviarie_e_metro_SICUREZZA_v1.png
0510,42.13.00,Costruzione di ponti e gallerie,Sicurezza,Voltix|Fumix,Formix|Scudix,Costruzione di ponti e gallerie — Pericolo vs Metodo81+,SICURIX_TALES_0510_421300_costruzione_di_ponti_e_gallerie_SICUREZZA_v1.png
0511,42.21.00,Costruzione di opere di pubblica utilità per il trasporto dei fluidi,Sicurezza,Fumix|Polverix,Checkix|Prepostix,Costruzione di opere di pubblica utilità per — Pericolo vs Metodo81+,SICURIX_TALES_0511_422100_costruzione_di_opere_di_pubblica_utilit__SICUREZZA_v1.png
0512,42.22.00,Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni,Privacy,Spyix|Hackix,Consensix|Luxpectorix,Costruzione di opere di pubblica utilità per — Pericolo vs Metodo81+,SICURIX_TALES_0512_422200_costruzione_di_opere_di_pubblica_utilit__PRIVACY_v1.png
0513,42.91.00,Costruzione di opere idrauliche,Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Costruzione di opere idrauliche — Pericolo vs Metodo81+,SICURIX_TALES_0513_429100_costruzione_di_opere_idrauliche_SICUREZZA_v1.png
